iter	Passed	Remaining
0	163	162975
1	167	83346
2	171	56864
3	174	43508
4	180	35849
5	184	30500
6	187	26608
7	191	23796
8	195	21479
9	198	19612
10	201	18087
11	205	16947
12	209	15876
13	212	14949
14	215	14168
15	219	13492
16	223	12895
17	226	12336
18	232	11982
19	235	11549
20	238	11137
21	241	10743
22	245	10430
23	247	10085
24	249	9748
25	251	9419
26	252	9115
27	254	8833
28	255	8569
29	257	8319
30	259	8114
31	260	7890
32	262	7679
33	263	7483
34	264	7290
35	265	7107
36	266	6933
37	267	6769
38	268	6615
39	269	6467
40	270	6326
41	271	6198
42	273	6081
43	274	5958
44	275	5839
45	276	5732
46	277	5625
47	278	5522
48	279	5424
49	280	5329
50	281	5240
51	282	5152
52	284	5086
53	285	5008
54	286	4927
55	287	4850
56	288	4780
57	290	4714
58	291	4651
59	292	4584
60	293	4518
61	294	4456
62	295	4396
63	296	4338
64	298	4295
65	299	4242
66	300	4189
67	301	4136
68	302	4087
69	303	4037
70	304	3989
71	305	3941
72	306	3894
73	307	3849
74	308	3806
75	309	3766
76	310	3725
77	312	3698
78	314	3662
79	315	3623
80	316	3587
81	317	3551
82	317	3510
83	318	3475
84	319	3442
85	320	3409
86	321	3376
87	322	3344
88	323	3313
89	324	3283
90	325	3256
91	327	3234
92	328	3205
93	329	3179
94	330	3151
95	331	3123
96	332	3096
97	333	3069
98	334	3043
99	335	3017
100	336	2992
101	337	2968
102	338	2944
103	339	2921
104	341	2907
105	342	2888
106	343	2867
107	344	2845
108	345	2823
109	346	2802
110	347	2781
111	348	2760
112	349	2740
113	350	2720
114	351	2701
115	352	2682
116	352	2662
117	353	2645
118	356	2637
119	357	2619
120	358	2603
121	359	2584
122	360	2567
123	361	2550
124	361	2533
125	362	2517
126	363	2499
127	364	2483
128	365	2468
129	366	2452
130	367	2437
131	369	2429
132	370	2415
133	371	2402
134	372	2388
135	373	2374
136	374	2359
137	375	2345
138	376	2331
139	377	2318
140	378	2304
141	378	2289
142	379	2276
143	380	2263
144	381	2250
145	383	2244
146	384	2233
147	386	2223
148	387	2211
149	388	2198
150	388	2186
151	389	2174
152	390	2162
153	391	2151
154	392	2139
155	393	2128
156	394	2117
157	395	2106
158	396	2096
159	398	2092
160	399	2080
161	400	2070
162	401	2059
163	402	2049
164	403	2039
165	403	2029
166	404	2019
167	405	2009
168	406	2000
169	407	1991
170	408	1981
171	409	1972
172	410	1963
173	413	1961
174	414	1954
175	415	1946
176	416	1938
177	417	1929
178	418	1921
179	419	1912
180	420	1904
181	421	1896
182	422	1888
183	423	1880
184	425	1872
185	427	1869
186	428	1862
187	429	1855
188	430	1848
189	431	1841
190	433	1835
191	434	1828
192	436	1823
193	437	1817
194	438	1811
195	442	1813
196	444	1813
197	446	1807
198	447	1801
199	448	1794
200	449	1787
201	450	1780
202	451	1773
203	452	1766
204	453	1759
205	455	1757
206	457	1752
207	458	1746
208	459	1739
209	460	1733
210	461	1726
211	462	1720
212	464	1714
213	465	1708
214	466	1702
215	467	1696
216	468	1691
217	471	1690
218	472	1684
219	473	1678
220	474	1672
221	475	1666
222	476	1659
223	477	1653
224	478	1647
225	479	1641
226	480	1635
227	481	1629
228	482	1623
229	483	1617
230	486	1618
231	487	1612
232	488	1606
233	488	1600
234	489	1594
235	490	1588
236	491	1583
237	492	1577
238	493	1571
239	494	1565
240	495	1560
241	496	1555
242	497	1549
243	500	1549
244	502	1547
245	503	1542
246	504	1537
247	505	1532
248	506	1527
249	507	1522
250	508	1517
251	509	1512
252	510	1507
253	511	1503
254	513	1500
255	515	1497
256	516	1492
257	517	1488
258	518	1483
259	519	1478
260	520	1473
261	521	1469
262	523	1465
263	524	1461
264	525	1456
265	526	1451
266	528	1450
267	529	1446
268	530	1442
269	531	1437
270	532	1432
271	533	1428
272	534	1423
273	535	1419
274	536	1415
275	537	1410
276	538	1406
277	539	1401
278	541	1398
279	543	1396
280	544	1392
281	545	1388
282	546	1384
283	547	1379
284	548	1375
285	549	1372
286	550	1367
287	551	1363
288	552	1359
289	553	1355
290	555	1352
291	557	1351
292	558	1347
293	559	1343
294	560	1339
295	561	1335
296	562	1331
297	563	1328
298	564	1324
299	565	1320
300	566	1316
301	568	1312
302	570	1311
303	571	1308
304	572	1304
305	573	1301
306	574	1297
307	575	1293
308	576	1290
309	578	1287
310	579	1283
311	580	1280
312	581	1276
313	583	1275
314	585	1273
315	586	1269
316	587	1266
317	588	1262
318	589	1259
319	591	1256
320	592	1252
321	593	1249
322	594	1246
323	595	1242
324	596	1239
325	599	1239
326	600	1236
327	601	1233
328	602	1229
329	604	1226
330	605	1223
331	606	1220
332	607	1217
333	609	1214
334	610	1212
335	613	1212
336	614	1209
337	616	1206
338	617	1203
339	618	1200
340	620	1198
341	621	1195
342	622	1191
343	623	1188
344	624	1185
345	625	1183
346	628	1182
347	629	1179
348	630	1176
349	632	1173
350	633	1171
351	635	1169
352	636	1166
353	637	1164
354	639	1161
355	641	1161
356	643	1158
357	644	1156
358	646	1153
359	647	1151
360	649	1149
361	650	1146
362	651	1143
363	652	1140
364	654	1137
365	657	1138
366	658	1135
367	659	1132
368	660	1130
369	662	1127
370	663	1125
371	665	1122
372	666	1120
373	667	1117
374	669	1115
375	672	1115
376	673	1112
377	674	1110
378	676	1108
379	677	1105
380	678	1103
381	680	1100
382	681	1097
383	682	1094
384	686	1096
385	687	1093
386	688	1091
387	690	1088
388	691	1085
389	692	1083
390	693	1080
391	695	1078
392	696	1075
393	697	1072
394	700	1072
395	701	1070
396	702	1067
397	703	1064
398	704	1061
399	706	1059
400	707	1056
401	708	1053
402	709	1050
403	710	1048
404	711	1045
405	713	1043
406	715	1043
407	717	1040
408	718	1037
409	719	1035
410	720	1032
411	722	1030
412	723	1027
413	724	1025
414	725	1022
415	727	1020
416	729	1020
417	730	1017
418	731	1014
419	733	1012
420	734	1009
421	735	1007
422	736	1004
423	737	1002
424	738	999
425	740	997
426	742	996
427	744	994
428	745	992
429	746	989
430	748	987
431	749	985
432	750	982
433	751	980
434	753	978
435	754	975
436	756	974
437	758	972
438	759	970
439	760	967
440	762	966
441	763	964
442	765	961
443	766	959
444	767	957
445	768	955
446	771	954
447	772	952
448	774	949
449	775	947
450	776	945
451	777	942
452	778	940
453	780	938
454	781	935
455	782	933
456	784	931
457	786	930
458	787	928
459	789	926
460	790	924
461	791	922
462	793	919
463	794	917
464	795	915
465	797	913
466	798	911
467	800	910
468	801	907
469	803	905
470	804	903
471	805	901
472	806	899
473	808	896
474	809	894
475	810	892
476	811	889
477	812	887
478	815	886
479	816	884
480	817	882
481	819	880
482	820	878
483	822	876
484	823	874
485	824	872
486	826	870
487	827	868
488	830	867
489	831	865
490	833	863
491	834	861
492	835	859
493	836	857
494	837	854
495	838	852
496	840	850
497	841	848
498	843	846
499	845	845
500	847	843
501	848	841
502	850	839
503	851	838
504	853	836
505	854	834
506	856	832
507	859	832
508	861	830
509	862	828
510	863	826
511	865	824
512	866	822
513	867	820
514	869	818
515	873	818
516	874	817
517	876	815
518	877	813
519	879	811
520	880	809
521	883	808
522	885	807
523	890	808
524	892	807
525	895	806
526	896	805
527	898	803
528	901	802
529	903	800
530	904	799
531	906	797
532	907	795
533	909	793
534	910	791
535	912	789
536	916	789
537	918	788
538	920	787
539	922	785
540	924	784
541	926	782
542	928	781
543	934	783
544	936	781
545	938	780
546	940	779
547	945	780
548	948	778
549	950	777
550	952	776
551	955	775
552	957	773
553	960	773
554	962	771
555	964	770
556	966	768
557	969	767
558	970	765
559	975	766
560	977	765
561	980	764
562	982	762
563	984	761
564	988	761
565	993	761
566	995	760
567	997	758
568	1000	757
569	1005	758
570	1007	756
571	1009	755
572	1011	754
573	1014	752
574	1017	751
575	1021	752
576	1023	750
577	1025	748
578	1028	747
579	1031	747
580	1034	746
581	1036	744
582	1038	742
583	1040	740
584	1041	739
585	1044	737
586	1047	737
587	1049	735
588	1052	734
589	1054	732
590	1055	730
591	1058	729
592	1061	728
593	1064	727
594	1066	726
595	1068	724
596	1070	722
597	1079	725
598	1081	724
599	1083	722
600	1085	720
601	1091	721
602	1093	719
603	1095	718
604	1097	716
605	1099	714
606	1101	713
607	1105	712
608	1107	711
609	1109	709
610	1111	707
611	1113	705
612	1115	704
613	1119	703
614	1121	702
615	1124	700
616	1126	699
617	1127	697
618	1130	695
619	1135	695
620	1137	694
621	1139	692
622	1141	690
623	1142	688
624	1145	687
625	1147	685
626	1150	684
627	1152	682
628	1154	681
629	1156	679
630	1158	677
631	1162	676
632	1164	675
633	1167	673
634	1168	671
635	1170	670
636	1172	668
637	1176	667
638	1180	667
639	1183	665
640	1185	663
641	1187	662
642	1225	680
643	1230	680
644	1233	678
645	1246	683
646	1248	681
647	1251	679
648	1254	678
649	1259	677
650	1273	682
651	1282	684
652	1286	683
653	1293	684
654	1299	684
655	1301	682
656	1304	681
657	1307	679
658	1312	678
659	1316	678
660	1318	676
661	1320	674
662	1322	672
663	1328	672
664	1331	670
665	1335	669
666	1343	670
667	1346	669
668	1347	666
669	1350	665
670	1352	662
671	1355	661
672	1358	660
673	1360	658
674	1362	656
675	1364	654
676	1366	652
677	1370	650
678	1375	650
679	1377	648
680	1379	645
681	1381	643
682	1385	643
683	1387	641
684	1390	639
685	1392	637
686	1394	635
687	1399	634
688	1401	632
689	1403	630
690	1405	628
691	1407	626
692	1409	624
693	1413	623
694	1415	621
695	1417	619
696	1419	616
697	1421	614
698	1423	613
699	1429	612
700	1432	611
701	1437	610
702	1447	611
703	1451	610
704	1458	610
705	1463	609
706	1467	608
707	1470	606
708	1476	606
709	1480	604
710	1483	602
711	1486	601
712	1490	599
713	1496	599
714	1498	597
715	1500	595
716	1507	594
717	1510	593
718	1513	591
719	1516	589
720	1520	588
721	1522	586
722	1525	584
723	1527	582
724	1530	580
725	1534	579
